# Experiment IPTS-36897 Run 226643
# Reduction 2.10.0.dev6
# Run title: Sample5_OCV-226642-2.
# Run start time: 2026-03-30T03:12:23.337195667
# Reduction time: Mon May 11 17:47:39 2026
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0.0
# Stitching type: None
# Meta:{"wl_min": 2.679749638902263, "wl_max": 9.59605584978334, "q_min": 0.02742831783976636, "q_max": 0.09821950007383001, "theta": 0.02094661427349929, "start_time": "2026-03-30T03:12:23.337195667", "experiment": "IPTS-36897", "run_number": "226643", "run_title": "Sample5_OCV-226642-2.", "norm_run": 226560, "time": "Mon May 11 17:47:39 2026", "dq0": 0, "dq_over_q": 0.021933285354210227, "sequence_number": 2, "sequence_id": 226642, "q_summing": false, "specular_pixel": 150.0, "use_functional_bck": false, "scaling_factors": {"a": 25.0, "err_a": 0, "b": 0, "err_b": 0}, "tof_weighted": false, "bck_in_q": false, "theta_offset": 0.0}
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B          SF
# 226643    226560    2.40031        2.67975        9.59606      0.0274       0.0982       25.0         0            1.0         
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0275960870579050    0.0133185988062055    0.0042220671879653    0.0006052728521007
  0.0277340674931945    0.0169852392293770    0.0011530090018702    0.0006082992163612
  0.0278727378306605    0.0158706500719253    0.0009658628387422    0.0006113407124430
  0.0280121015198138    0.0157037368432063    0.0009549603925171    0.0006143974160052
  0.0281521620274129    0.0151116047008822    0.0009049124582123    0.0006174694030852
  0.0282929228375499    0.0150484038352447    0.0008935777355891    0.0006205567501006
  0.0284343874517377    0.0148099329867834    0.0008696374151053    0.0006236595338511
  0.0285765593889964    0.0147538903045855    0.0008730858206977    0.0006267778315204
  0.0287194421859414    0.0160240565745052    0.0009249737241236    0.0006299117206780
  0.0288630393968711    0.0152444873930908    0.0008593686481771    0.0006330612792814
  0.0290073545938554    0.0149526698339215    0.0008745462449183    0.0006362265856778
  0.0291523913668247    0.0146204250376518    0.0008403401322961    0.0006394077186062
  0.0292981533236588    0.0142287155112654    0.0007932065015410    0.0006426047571992
  0.0294446440902771    0.0145112024334619    0.0007946555507432    0.0006458177809852
  0.0295918673107285    0.0145390761903514    0.0007778558442692    0.0006490468698901
  0.0297398266472821    0.0140475771584593    0.0007555050891282    0.0006522921042396
  0.0298885257805185    0.0148491946409378    0.0007874612233360    0.0006555535647608
  0.0300379684094211    0.0139482254058319    0.0007398111534121    0.0006588313325846
  0.0301881582514682    0.0135520560223202    0.0007142111301168    0.0006621254892475
  0.0303390990427256    0.0134900281973075    0.0007152647523431    0.0006654361166937
  0.0304907945379392    0.0137266041341837    0.0007007449616664    0.0006687632972772
  0.0306432485106289    0.0139946912846746    0.0007299083037429    0.0006721071137636
  0.0307964647531820    0.0131797386353636    0.0006562705483010    0.0006754676493324
  0.0309504470769479    0.0123501392886060    0.0006453417471463    0.0006788449875791
  0.0311051993123327    0.0117764219399848    0.0005788791943925    0.0006822392125170
  0.0312607253088943    0.0127485603801956    0.0006338153399691    0.0006856504085796
  0.0314170289354388    0.0133962815611631    0.0006547098932840    0.0006890786606225
  0.0315741140801160    0.0116199312046209    0.0005701306816211    0.0006925240539256
  0.0317319846505165    0.0105512507442698    0.0005319163628973    0.0006959866741952
  0.0318906445737691    0.0120112274835545    0.0005865995702986    0.0006994666075662
  0.0320500977966380    0.0116727713584677    0.0005812804268693    0.0007029639406040
  0.0322103482856212    0.0100176081114181    0.0004917026186780    0.0007064787603070
  0.0323714000270493    0.0110152371797602    0.0005210430134608    0.0007100111541086
  0.0325332570271845    0.0097327002354355    0.0004622704047465    0.0007135612098791
  0.0326959233123204    0.0100276709970897    0.0004795699050722    0.0007171290159285
  0.0328594029288820    0.0099037821449184    0.0004764080014165    0.0007207146610081
  0.0330236999435264    0.0085133166467984    0.0003967990073278    0.0007243182343132
  0.0331888184432441    0.0083651270057422    0.0003969956192533    0.0007279398254847
  0.0333547625354603    0.0085796021730444    0.0003991959470634    0.0007315795246122
  0.0335215363481376    0.0080427544802682    0.0003799426375215    0.0007352374222352
  0.0336891440298783    0.0079773037151821    0.0003932783952317    0.0007389136093464
  0.0338575897500276    0.0078078955116396    0.0003656464639981    0.0007426081773931
  0.0340268776987778    0.0074457411012598    0.0003515871508015    0.0007463212182801
  0.0341970120872717    0.0073417568644176    0.0003488311126753    0.0007500528243715
  0.0343679971477080    0.0072443652597845    0.0003286542005390    0.0007538030884934
  0.0345398371334466    0.0066007381293398    0.0003164951234300    0.0007575721039358
  0.0347125363191138    0.0064012328093497    0.0003005599100855    0.0007613599644555
  0.0348860990007094    0.0062635293393529    0.0002890935192320    0.0007651667642778
  0.0350605294957129    0.0060627238707735    0.0002966101637969    0.0007689925980992
  0.0352358321431915    0.0060171667904925    0.0002868056085698    0.0007728375610897
  0.0354120113039074    0.0052725094550703    0.0002537020174335    0.0007767017488951
  0.0355890713604269    0.0052921282478944    0.0002528589521619    0.0007805852576396
  0.0357670167172291    0.0050046192090437    0.0002428623178011    0.0007844881839278
  0.0359458518008152    0.0053004010297893    0.0002429041902498    0.0007884106248474
  0.0361255810598193    0.0050661744285267    0.0002415673464940    0.0007923526779717
  0.0363062089651184    0.0047806688451017    0.0002297471266000    0.0007963144413615
