# Experiment IPTS-36897 Run 226642
# Reduction 2.10.0.dev6
# Run title: Sample5_OCV-226642-1.
# Run start time: 2026-03-30T03:07:07.232048667
# Reduction time: Mon May 11 17:29:40 2026
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0.0
# Stitching type: None
# Meta:{"wl_min": 2.679749638902263, "wl_max": 9.59605584978334, "q_min": 0.00845764753062601, "q_max": 0.030286433062051234, "theta": 0.006458557111898682, "start_time": "2026-03-30T03:07:07.232048667", "experiment": "IPTS-36897", "run_number": "226642", "run_title": "Sample5_OCV-226642-1.", "norm_run": 226559, "time": "Mon May 11 17:29:40 2026", "dq0": 0, "dq_over_q": 0.02193677830737623, "sequence_number": 1, "sequence_id": 226642, "q_summing": false, "specular_pixel": 150.5, "use_functional_bck": false, "scaling_factors": {"a": 4.0, "err_a": 0, "b": 0, "err_b": 0}, "tof_weighted": false, "bck_in_q": false, "theta_offset": 0.0}
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B          SF
# 226642    226559    0.740096       2.67975        9.59606      0.0084       0.0302       4.0          0            1.0         
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0085046595257674    0.7339020538278501    0.0521531757416372    0.0001865648305965
  0.0085471828233962    0.8705858627190585    0.0620935481766388    0.0001874976547495
  0.0085899187375132    0.8630896274014717    0.0598140588991592    0.0001884351430232
  0.0086328683312008    0.7412315179250293    0.0485108295080900    0.0001893773187383
  0.0086760326728568    0.8261576382233097    0.0540007938365264    0.0001903242053320
  0.0087194128362210    0.8208985078160342    0.0541369073944672    0.0001912758263587
  0.0087630099004021    0.8114997941661222    0.0520944425341731    0.0001922322054905
  0.0088068249499042    0.8139648978800098    0.0515641188366794    0.0001931933665179
  0.0088508590746537    0.7934300601576872    0.0495153756936230    0.0001941593333505
  0.0088951133700269    0.7962390028104152    0.0499024617036437    0.0001951301300173
  0.0089395889368771    0.8225016636014998    0.0514961175662601    0.0001961057806673
  0.0089842868815615    0.7558956813923855    0.0453240028445473    0.0001970863095707
  0.0090292083159693    0.8155392711282669    0.0487438240648298    0.0001980717411185
  0.0090743543575491    0.8544445215482588    0.0520218111055957    0.0001990620998241
  0.0091197261293369    0.8511520923268203    0.0516506879517947    0.0002000574103232
  0.0091653247599835    0.9575781033157159    0.0594201652397724    0.0002010576973749
  0.0092111513837835    0.7771207812054226    0.0441900509650078    0.0002020629858617
  0.0092572071407024    0.9138074201635161    0.0540006346143145    0.0002030733007910
  0.0093034931764059    0.9397437903195585    0.0558495074579893    0.0002040886672950
  0.0093500106422879    0.8602103412345580    0.0490821743941057    0.0002051091106315
  0.0093967606954993    0.8522472559475038    0.0471587511939039    0.0002061346561846
  0.0094437444989768    0.8241279379329494    0.0447752387515203    0.0002071653294656
  0.0094909632214717    0.7901835195210332    0.0424737973363325    0.0002082011561129
  0.0095384180375791    0.7767439508812284    0.0409236964798331    0.0002092421618935
  0.0095861101277670    0.7486051517440140    0.0380074365066736    0.0002102883727029
  0.0096340406784058    0.8937138537814149    0.0471813592897296    0.0002113398145664
  0.0096822108817978    0.7788899037870476    0.0392214036949011    0.0002123965136393
  0.0097306219362068    0.7939240597979714    0.0399936547718619    0.0002134584962075
  0.0097792750458879    0.9517455211137414    0.0497831262298046    0.0002145257886885
  0.0098281714211173    0.8246694504132523    0.0415140020346284    0.0002155984176319
  0.0098773122782229    0.8282269501248045    0.0414016850436914    0.0002166764097201
  0.0099266988396140    0.8165684592122069    0.0398015124811227    0.0002177597917687
  0.0099763323338121    0.8601700533042116    0.0425331688750387    0.0002188485907275
  0.0100262139954811    0.8514529350170111    0.0416741823735272    0.0002199428336812
  0.0100763450654585    0.8158869405302122    0.0381881291194783    0.0002210425478496
  0.0101267267907858    0.8609672485860306    0.0415270828352270    0.0002221477605888
  0.0101773604247398    0.8796266183501111    0.0412080164365797    0.0002232584993918
  0.0102282472268634    0.7559581175587383    0.0331406382007799    0.0002243747918887
  0.0102793884629978    0.8024257118453229    0.0356871991395788    0.0002254966658482
  0.0103307854053128    0.8106100825868672    0.0362258309355931    0.0002266241491774
  0.0103824393323393    0.8218331921382672    0.0364199592093567    0.0002277572699233
  0.0104343515290010    0.8321337283509865    0.0361444694590068    0.0002288960562729
  0.0104865232866460    0.8229074654350631    0.0360051251282398    0.0002300405365543
  0.0105389559030792    0.8176683177418582    0.0348595728566947    0.0002311907392371
  0.0105916506825946    0.8006637568031482    0.0338634833380233    0.0002323466929332
  0.0106446089360076    0.9033489851704607    0.0387823911776214    0.0002335084263979
  0.0106978319806876    0.8009799159288035    0.0323933449763091    0.0002346759685299
  0.0107513211405911    0.7672381601351271    0.0308347514185912    0.0002358493483726
  0.0108050777462940    0.8059881278576143    0.0321209939781359    0.0002370285951144
  0.0108591031350255    0.7744857340773028    0.0303009136399415    0.0002382137380900
  0.0109133986507006    0.8028730838637419    0.0317150407393378    0.0002394048067804
  0.0109679656439541    0.8607805704120397    0.0342018297250930    0.0002406018308143
  0.0110228054721739    0.8482057966203694    0.0332159445728902    0.0002418048399684
  0.0110779194995348    0.8566961866949144    0.0336541325097856    0.0002430138641683
  0.0111333090970324    0.8137045932808349    0.0306222724440569    0.0002442289334891
  0.0111889756425176    0.8268766062845663    0.0311629213544171    0.0002454500781565
  0.0112449205207302    0.8261998364336218    0.0305330920631705    0.0002466773285473
  0.0113011451233338    0.8859033047077298    0.0336623377351926    0.0002479107151901
  0.0113576508489505    0.8183679492906545    0.0297087676370104    0.0002491502687660
  0.0114144391031953    0.7970640015429084    0.0283388377777546    0.0002503960201098
  0.0114715112987112    0.7982456360563028    0.0282816731876925    0.0002516480002104
  0.0115288688552048    0.8263631682635980    0.0290136627338114    0.0002529062402114
  0.0115865131994808    0.8200672772515847    0.0286175806232650    0.0002541707714125
  0.0116444457654782    0.7920195732700257    0.0268357106321119    0.0002554416252696
  0.0117026679943056    0.8508535022610993    0.0290691965832623    0.0002567188333959
  0.0117611813342771    0.7846793587664006    0.0259949829489877    0.0002580024275629
  0.0118199872409485    0.8597774892732214    0.0291143332609906    0.0002592924397007
  0.0118790871771533    0.8156210782473318    0.0271846485900545    0.0002605889018992
  0.0119384826130390    0.7707994483143024    0.0248027490977307    0.0002618918464087
  0.0119981750261042    0.7909035396868164    0.0252356771483561    0.0002632013056407
  0.0120581659012347    0.7794815957965344    0.0243480493540083    0.0002645173121690
  0.0121184567307409    0.8255998685285370    0.0266118856849226    0.0002658398987298
  0.0121790490143946    0.8113114891304314    0.0256075253703226    0.0002671690982234
  0.0122399442594666    0.7881512120883000    0.0241344894438952    0.0002685049437146
  0.0123011439807639    0.7894511799012960    0.0241045311092782    0.0002698474684331
  0.0123626497006677    0.8140705232729925    0.0250009430320553    0.0002711967057753
  0.0124244629491711    0.8082678781566895    0.0245726091721780    0.0002725526893042
  0.0124865852639169    0.7738418471962519    0.0228117945447245    0.0002739154527507
  0.0125490181902365    0.7632260108473534    0.0221349320874357    0.0002752850300145
  0.0126117632811877    0.8018841836023335    0.0234952755614542    0.0002766614551645
  0.0126748220975936    0.8402090188720082    0.0251682909408550    0.0002780447624403
  0.0127381962080816    0.8108532988232814    0.0234048148995903    0.0002794349862525
  0.0128018871891220    0.8514774321233407    0.0252981748035856    0.0002808321611838
  0.0128658966250676    0.8073079356550947    0.0231071223429511    0.0002822363219897
  0.0129302261081930    0.8000083430371233    0.0224477658108582    0.0002836475035997
  0.0129948772387339    0.7948857643769761    0.0223616530428059    0.0002850657411177
  0.0130598516249276    0.7698147418396390    0.0210758530737193    0.0002864910698233
  0.0131251508830522    0.7832275172532931    0.0216939361634201    0.0002879235251724
  0.0131907766374675    0.7944003279915014    0.0219379662314101    0.0002893631427982
  0.0132567305206548    0.7540920675638813    0.0202636380659889    0.0002908099585122
  0.0133230141732581    0.7623435760003041    0.0203795966645796    0.0002922640083048
  0.0133896292441244    0.7569508592871940    0.0202346398152542    0.0002937253283463
  0.0134565773903450    0.7712468472995945    0.0204038123139821    0.0002951939549880
  0.0135238602772967    0.7527846415106267    0.0198987854704570    0.0002966699247630
  0.0135914795786832    0.7645714984007793    0.0200835225623980    0.0002981532743868
  0.0136594369765766    0.7465460395688170    0.0195500065889662    0.0002996440407587
  0.0137277341614595    0.6827338962114964    0.0172684346461435    0.0003011422609625
  0.0137963728322668    0.7021538238182227    0.0179185664195461    0.0003026479722673
  0.0138653546964281    0.6866626182999163    0.0173615804943134    0.0003041612121287
  0.0139346814699103    0.6716494682811697    0.0167978450217824    0.0003056820181893
  0.0140043548772598    0.6650081629527249    0.0165981259930200    0.0003072104282803
  0.0140743766516461    0.6297684128845370    0.0154196055909427    0.0003087464804217
  0.0141447485349043    0.5918724167819203    0.0142915669501333    0.0003102902128238
  0.0142154722775789    0.5949467214892061    0.0143425671678473    0.0003118416638879
  0.0142865496389668    0.5864515580446659    0.0140565463778350    0.0003134008722073
  0.0143579823871616    0.5761789163346522    0.0137091159392355    0.0003149678765684
  0.0144297722990974    0.5824406555091954    0.0141045478900391    0.0003165427159512
  0.0145019211605929    0.5373772583034268    0.0126740960775929    0.0003181254295310
  0.0145744307663958    0.5432955864919574    0.0129225293504903    0.0003197160566786
  0.0146473029202278    0.5129517057485037    0.0120918042425321    0.0003213146369620
  0.0147205394348290    0.5101598463514261    0.0120966318699839    0.0003229212101468
  0.0147941421320031    0.4867551202300895    0.0114370593278352    0.0003245358161976
  0.0148681128426631    0.4816875256324366    0.0113062928253951    0.0003261584952786
  0.0149424534068764    0.4579836784543775    0.0108098855766355    0.0003277892877549
  0.0150171656739108    0.4281035413996820    0.0099115046124949    0.0003294282341937
  0.0150922515022804    0.4149663051702155    0.0097359326762406    0.0003310753753647
  0.0151677127597918    0.4119496065438835    0.0099910059835983    0.0003327307522415
  0.0152435513235907    0.3808348459068305    0.0094328865421763    0.0003343944060027
  0.0153197690802087    0.3654611156605503    0.0086360728904759    0.0003360663780327
  0.0153963679256097    0.3431272707924579    0.0078205719537811    0.0003377467099229
  0.0154733497652378    0.3321006380572436    0.0075819247678846    0.0003394354434725
  0.0155507165140639    0.3323990455754665    0.0077347236713692    0.0003411326206899
  0.0156284700966343    0.3084781618608530    0.0071378399966526    0.0003428382837933
  0.0157066124471174    0.2913081007247452    0.0066905029257590    0.0003445524752123
  0.0157851455093530    0.2759547002687142    0.0063705394466148    0.0003462752375884
  0.0158640712368998    0.2511685321560256    0.0058683582449160    0.0003480066137763
  0.0159433915930843    0.2447157932309505    0.0057841205306228    0.0003497466468452
  0.0160231085510497    0.2466731107828644    0.0057615091933379    0.0003514953800794
  0.0161032240938049    0.2520981733292533    0.0058891998332648    0.0003532528569798
  0.0161837402142740    0.2433290934596601    0.0055773497369968    0.0003550191212647
  0.0162646589153453    0.2413818380774602    0.0055613716493150    0.0003567942168710
  0.0163459822099221    0.2293784258745531    0.0054151192374675    0.0003585781879554
  0.0164277121209717    0.2161831394570185    0.0051047870250467    0.0003603710788952
  0.0165098506815765    0.2047799363815876    0.0048682531263271    0.0003621729342896
  0.0165923999349844    0.1999392001122923    0.0049136084425921    0.0003639837989611
  0.0166753619346593    0.1890312100804872    0.0046998707533324    0.0003658037179559
  0.0167587387443326    0.1761758128543478    0.0042422567544721    0.0003676327365457
  0.0168425324380543    0.1817199668278057    0.0042136012955552    0.0003694709002284
  0.0169267451002446    0.1640711991022057    0.0038476393952201    0.0003713182547295
  0.0170113788257458    0.1682777960816423    0.0039912727902313    0.0003731748460032
  0.0170964357198745    0.1567819059401236    0.0036949981024174    0.0003750407202332
  0.0171819178984739    0.1560444321946320    0.0037054798383586    0.0003769159238344
  0.0172678274879662    0.1543297664818859    0.0037059303480786    0.0003788005034535
  0.0173541666254061    0.1518878355153485    0.0036196693506042    0.0003806945059708
  0.0174409374585331    0.1381058280701049    0.0033663555391722    0.0003825979785007
  0.0175281421458258    0.1384138317922457    0.0034297097383479    0.0003845109683932
  0.0176157828565549    0.1312366034693749    0.0032654538330133    0.0003864335232351
  0.0177038617708377    0.1299471865255081    0.0032809964418923    0.0003883656908513
  0.0177923810796918    0.1200321189708313    0.0029954235204054    0.0003903075193056
  0.0178813429850903    0.1178692125759482    0.0029711395211796    0.0003922590569021
  0.0179707497000158    0.1169366695521137    0.0029583510338349    0.0003942203521866
